"Sévérité","Catégorie","Page","Problème","Fichier","Ligne","Recommandation"
"HAUTE","Meta Titles","/consultant-seo-nantes","Title trop long (71 chars)","app/consultant-seo-nantes/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-paris","Title trop long (67 chars)","app/consultant-seo-paris/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-rennes","Title trop long (63 chars)","app/consultant-seo-rennes/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-sophia-antipolis","Title trop long (73 chars)","app/consultant-seo-sophia-antipolis/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-strasbourg","Title trop long (65 chars)","app/consultant-seo-strasbourg/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-toulouse","Title trop long (70 chars)","app/consultant-seo-toulouse/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/creation-boutique-en-ligne","Title trop long (62 chars)","app/creation-boutique-en-ligne/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/laboratoire-geo","Title trop long (62 chars)","app/laboratoire-geo/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Descriptions","/audit-seo","Description trop courte (91 chars)","app/audit-seo/layout.tsx","5","Augmenter à minimum 120 chars"
"HAUTE","Meta Descriptions","/blog","Description trop courte (91 chars)","app/blog/layout.tsx","5","Augmenter à minimum 120 chars"
"HAUTE","Meta Descriptions","/cgv","Description trop courte (118 chars)","app/cgv/layout.tsx","5","Augmenter à minimum 120 chars"
"HAUTE","Meta Descriptions","/consultant-ia","Description trop courte (24 chars)","app/consultant-ia/layout.tsx","5","Augmenter à 120-160 chars"
"HAUTE","Meta Descriptions","/consultant-seo-grenoble","Description trop courte (108 chars)","app/consultant-seo-grenoble/layout.tsx","5","Augmenter à minimum 120 chars"
"HAUTE","Meta Descriptions","/consultant-seo-lyon","Description trop courte (109 chars)","app/consultant-seo-lyon/layout.tsx","5","Augmenter à minimum 120 chars"
"HAUTE","Meta Descriptions","/consultant-seo-montpellier","Description trop courte (119 chars)","app/consultant-seo-montpellier/layout.tsx","5","Augmenter à minimum 120 chars"
"HAUTE","Meta Descriptions","/etudes-de-cas","Description trop courte (118 chars)","app/etudes-de-cas/layout.tsx","5","Augmenter à minimum 120 chars"
"HAUTE","Meta Descriptions","/faq","Description trop courte (56 chars)","app/faq/layout.tsx","5","Augmenter à 120-160 chars"
"HAUTE","Meta Descriptions","/laboratoire-geo","Description trop courte (13 chars)","app/laboratoire-geo/layout.tsx","5","Augmenter à 120-160 chars"
"HAUTE","Meta Descriptions","/mentions-legales","Description trop courte (114 chars)","app/mentions-legales/layout.tsx","5","Augmenter à minimum 120 chars"
"HAUTE","Meta Descriptions","/partenaires","Description trop courte (36 chars)","app/partenaires/layout.tsx","5","Augmenter à 120-160 chars"
"HAUTE","Meta Descriptions","/pour-pauline","Description trop courte (27 chars)","app/pour-pauline/layout.tsx","5","Augmenter à 120-160 chars"
"HAUTE","Meta Descriptions","/referencement-naturel","Description trop courte (110 chars)","app/referencement-naturel/layout.tsx","5","Augmenter à minimum 120 chars"
"HAUTE","Meta Descriptions","/refonte-site-web","Description trop courte (105 chars)","app/refonte-site-web/layout.tsx","5","Augmenter à minimum 120 chars"
"HAUTE","Robots.txt","Global","Conflit CCBot: Allow vs Disallow","public/robots.txt","51-52","Changer 'Allow' en 'Disallow' pour CCBot"
"HAUTE","Blog","3 articles","Articles en draft non publiés","content/blog/","N/A","Publier (draft: false) ou supprimer"
"HAUTE","Broken Links","/laboratoire-geo/vultifrine","Page n'existe pas","Indéterminé","N/A","Créer la page ou rediriger vers /blog/etude-de-cas-geo-vultifrine"
"MOYENNE","Meta Descriptions","/a-propos","Description trop longue (180 chars)","app/a-propos/layout.tsx","5","Réduire à maximum 160 chars"
"MOYENNE","Meta Descriptions","/checklist-geo","Description trop longue (169 chars)","app/checklist-geo/layout.tsx","5","Réduire à maximum 160 chars"
"MOYENNE","JSON-LD","Homepage","Doublon de schemas (Organization + LocalBusiness)","app/layout.tsx + components/seo/JsonLdSchemas.tsx","78-197, 44-197","Consolider: supprimer de layout.tsx, garder dans JsonLdSchemas"
"MOYENNE","Blog","1 article","Article sans keywords","content/blog/definition-seo-guide-complet.md","N/A","Ajouter keywords: [...]"
"BASSE","Typography","/outils/gmb-autopilot","Majuscules françaises incorrectes","app/outils/gmb-autopilot/layout.tsx","4","'Réponses Automatiques' -> 'réponses automatiques'"
"BASSE","Typography","/blog/geo-comment-apparaitre-chatgpt-2026","Majuscules françaises incorrectes","app/blog/geo-comment-apparaitre-chatgpt-2026/layout.tsx","4","'Comment Apparaître' -> 'comment apparaître'"
